Smiles,Standard Relation,Standard Value,Standard Units
O=S(=O)(N1CC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)C1)C(F)(F)F,'=',23.3,nM
O=S(=O)(N[C@H]1CC[C@@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C(F)(F)F,'=',15.0,nM
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(COC3)[C@@H]1COc1c(F)ccc(F)c12,'=',13.0,nM
O=S1(=O)CCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CC1,'=',25.0,nM
COc1cc(Nc2nc3n(n2)CCCC3c2ccc(F)cc2)ccc1-n1cnc(C)n1,'=',39.81,nM
COc1cc(Nc2nc3n(n2)CCCN3Cc2ccccc2)ccc1-n1cnc(C)c1,'=',19.95,nM
Cc1nsc(N2C[C@H]3CC[C@@H](C2)C3NC2=NC3C=CC=C(OC(F)(F)F)C3=N2)n1,'=',12.0,nM
COc1cc(-c2cc(C#N)c(N[C@@H](C)c3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,'=',125.89,nM
COc1ccc([C@H](C)Nc2ccc(-c3ccc(-n4cnc(C)c4)c(OC)c3)nn2)cc1,'=',158.49,nM
CC(C)N1C(=O)c2ccccc2C(NC(=O)[C@H](C)NC(=O)CC2CCCCC2)C(=O)N1C,'=',150.0,nM
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccc(Cl)s1,'=',62.0,nM
O=S(=O)(NC1C2CCC1Cc1c(Cl)cccc1C2)c1ccc(Cl)s1,'=',175.0,nM
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1C2Cc3[nH]ncc3C1CC(c1ccc(-c3cncs3)cc1)C2,'=',18719.0,nM
CCCC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccccc1,'=',600.0,nM
CC(=O)O[C@@H]([C@@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,'=',14000.0,nM
CC(=O)O[C@@H]([C@@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](OC(=O)c5ccncc5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,'=',1000.0,nM
COc1cc(-c2ncc(N[C@@H](C)c3ccc(F)cc3)cn2)ccc1-n1cnc(C)c1,'=',1258.93,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2-c2cc(F)ccc21,'=',160.0,nM
O=S(=O)(c1ccc(Cl)cc1)N1[C@H]2CCC[C@@H]1c1cn[nH]c1C2,'=',2.1,nM
O=S(=O)(c1ccc(Cl)cc1)N1Cc2c[nH]nc2-c2ccccc21,'=',327.0,nM
O=S(=O)(c1cccc(C(F)(F)F)c1)N1[C@H]2c3c[nH]nc3C[C@@H]1c1c(Cl)cccc12,'=',122.0,nM
O=S(=O)(c1cccc(C(F)(F)F)c1)N1[C@@H]2c3ccccc3[C@H]1Cc1n[nH]cc12,'=',1.9,nM
O=S(=O)(c1ccc(C(F)(F)F)cc1)N1[C@H]2c3c[nH]nc3C[C@@H]1c1cccc(F)c12,'=',0.4,nM
C[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@H]1N=C(c2ccc3c(c2)CCC(=O)N3)c2ccccc2N(C)C1=O,'=',100.6,nM
O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccccc1,'=',190.0,nM
CN1CCN(C/C=C/c2ccc3c(c2)CC2CCC(C3)C2NS(=O)(=O)c2ccc(Cl)s2)CC1,'=',39.0,nM
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)C[C@@H](O)[C@H](Cc1ccc(C(=O)c2ccccc2)cc1)NC(=O)OC(C)(C)C,'=',0.7,nM
N#Cc1ccc(CN([C@H](CCC(F)(F)F)C(N)=O)S(=O)(=O)c2ccc(Cl)cc2)c(F)c1,'=',1.77,nM
CC(C)(O)C(=O)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,'=',130.0,nM
COC(=O)C1(C(=O)N2CCC(c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC2)CC1,'=',100.0,nM
CCCCN(C)C(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1cc(OC)cc(OC)c1,'=',800.0,nM
COc1cc(-c2cn([C@H]3C[C@@H]([Si](C)(C)C)CCN(Cc4ccccc4)C3=O)nn2)ccc1-n1cnc(C)c1,'=',440.0,nM
C[Si](C)(C)CC[C@H](CCC(F)(F)F)N1CC[C@@H](CC(=O)O)C(F)(F)[C@H]1c1ccc(C(F)(F)F)cc1,'=',230.0,nM
O=C([O-])C[C@@H]1CCN([C@@H](c2ccc(C(F)(F)F)nc2)C2CC2)[C@H](c2ccc(C(F)(F)F)cc2)C1.[Na+],'=',50118.72,nM
CCC[C@@H](C(=O)O)c1cc(OCc2ccccc2)cc(-c2ccc(C(F)(F)F)cc2)c1,'=',3980.0,nM
O=C(O)Cc1ccc(-c2ccc(C(F)(F)F)cc2)c(-c2ccc(C(F)(F)F)cc2)c1,'=',1995.26,nM
Cn1cc(C(=O)N2CCC(c3cc(F)ccc3F)(S(=O)(=O)c3ccc(Cl)cc3)CC2)c(C(F)(F)F)n1,'=',160.0,nM
O=C(CCC(F)(F)F)N1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,'=',420.0,nM
NC(=O)[C@@H](CCC(F)(F)F)N(C[C@H]1CCCCO1)S(=O)(=O)c1ccc(Cl)cc1,'=',7.97,nM
O=C(Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccccc1)c1ccccn1,'=',75.0,nM
COc1cc(-c2nnc3n2CCCN3CCc2ccc(F)cc2)ccc1-n1cnc(C)c1,'=',619.0,nM
CCC(c1cc(F)c(F)c(F)c1)N1CCCc2c(-c3ccc(-n4cnc(C)c4)c(OC)c3)n[nH]c21,'=',201.0,nM
CC(C)N1C(=O)c2ccccc2C(NC(=O)[C@H](C)NC(=O)Cc2cc(F)cc(F)c2)C(=O)N1C,'=',47.0,nM
COc1cc(-c2cn(C3CC(C(F)(F)F)CNC3=O)nn2)ccc1-n1cnc(C)c1,'=',1110.0,nM
COc1cc(-c2cn([C@H]3CCCCN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,'=',2210.0,nM
CC(C)CC[C@@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)Cc1ccccc1,'=',1200.0,nM
CCCCNC(C)c1sc(NC(=O)[C@H](CCC)NC(=O)Cc2cc(F)cc(F)c2)nc1C,'=',7.1,nM
CCCCCCN([C@@H]1CCCCNC1=O)S(=O)(=O)c1ccc(Cl)cc1,'=',110.0,nM
COc1ccc(C(C)N([C@@H]2CCCCNC2=O)S(=O)(=O)c2ccc(Cl)cc2)cc1,'=',690.0,nM
