Standard Value,smiles_encoded,exactmw,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,CrippenClogP,hallKierAlpha
0.3,1571,430.14526156000005,0.23809523809523808,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.1662999999999997,-3.6599999999999997
546.0,635,367.075740116,0.375,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.1800000000000015,-1.6999999999999997
2000.0,398,501.356656984,0.6896551724137931,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.618700000000003,-2.4099999999999997
200.0,828,654.3992500680001,0.5555555555555556,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.813700000000003,-4.119999999999999
3000.0,828,654.3992500680001,0.5555555555555556,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.813700000000003,-4.119999999999999
9000.0,828,654.3992500680001,0.5555555555555556,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.813700000000003,-4.119999999999999
2000.0,862,787.4520139120001,0.4772727272727273,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.151100000000007,-5.429999999999999
8000.0,862,787.4520139120001,0.4772727272727273,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.151100000000007,-5.429999999999999
9000.0,866,674.3679499400001,0.42105263157894735,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.620200000000002,-4.8999999999999995
24000.0,866,674.3679499400001,0.42105263157894735,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.620200000000002,-4.8999999999999995
2000.0,869,626.36794994,0.5294117647058824,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0335000000000045,-4.119999999999999
12000.0,869,626.36794994,0.5294117647058824,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0335000000000045,-4.119999999999999
454.0,391,485.361742364,0.6896551724137931,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.7821200000000035,-2.3699999999999997
82500.0,1467,340.093329004,0.15,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350000000000005,-2.3299999999999996
332000.0,1467,340.093329004,0.15,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350000000000005,-2.3299999999999996
53000.0,1467,340.093329004,0.15,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350000000000005,-2.3299999999999996
215000.0,1467,340.093329004,0.15,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350000000000005,-2.3299999999999996
57100.0,1467,340.093329004,0.15,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350000000000005,-2.3299999999999996
304.0,651,424.09923788400005,0.5,3.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.8495000000000026,-2.08
403.0,2185,435.0287732880001,0.35714285714285715,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.8282000000000007,-2.2199999999999998
6.0,269,503.16455511999993,0.44,4.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.7279000000000018,-2.419999999999999
